PERIODO,TERRITORIO,PATOLOGIA,MASCHI,FEMMINE
2009-2017,87045,Altre malattie del cuore,35,35
2009-2017,87045,Malattie cerebrovascolari,39,55
2009-2017,87045,Malattie del sistema respiratorio,29,20
2009-2017,87045,Polmonite,2,2
2009-2017,87045,Malattie croniche delle basse vie respiratorie,20,7
2009-2017,87045,Asma,1,0
2009-2017,87045,Malattie dell'apparato digerente,14,17
2009-2017,87045,"Ulcera dello stomaco, duodeno e digiuno",0,1
2009-2017,87045,Malattie epatiche croniche,6,9
2009-2017,87045,Malattie del sistema osteomuscolare e del tessuto connettivo,0,1
2009-2017,87045,Malattie del sistema genitourinario,9,9
2009-2017,87045,Malattie del rene e dell'uretere,9,9
2009-2017,87045,Alcune condizioni che hanno origine nel periodo perinatale,1,1
2009-2017,87045,Malformazioni congenite e anormalità cromosomiche,3,1
2009-2017,87045,Malformazioni congenite del sistema nervoso,1,1
2009-2017,87045,"Sintomi, segni, risultati anomali e cause mal definite",12,29
2009-2017,87045,Cause esterne di traumatismo e avvelenamento,5,2
2009-2017,87045,Accidenti,2,1
2009-2017,87045,Accidenti di trasporto,0,1
2009-2017,87045,Suicidio e autolesione intenzionale,3,0
2009-2017,87046,Malattie infettive e parassitarie,1,0
2009-2017,87046,Tumore,19,15
2009-2017,87046,Tumori maligni,19,15
2009-2017,87046,Tumori maligni dell'esofago,1,0
2009-2017,87046,Tumori maligni dello stomaco,0,1
2009-2017,87046,Tumori maligni del colon,1,6
2009-2017,87046,Tumori maligni del retto e dell'ano,1,0
2009-2017,87046,Tumori maligni del fegato e dei dotti biliari intraepatici,3,1
2009-2017,87046,Tumori maligni della laringe e della trachea/bronchi/polm.,4,1
2009-2017,87046,Tumori maligni del seno,0,2
2009-2017,87046,Tumori maligni di altre parti dell'utero,0,1
2009-2017,87046,Tumori maligni della prostata,3,0
2009-2017,87046,Tumori maligni della vescica,1,0
2009-2017,87046,Tumori maligni del tessuto linfatico/ematopoietico,2,2
2009-2017,87046,"Malattie endocrine, nutrizionali e metaboliche",5,6
2009-2017,87046,Diabete mellito,5,6
2009-2017,87046,Disturbi psichici e comportamentali,0,2
2009-2017,87046,Malattie del sistema nervoso e degli organi di senso,3,3
2009-2017,87046,Malattie del sistema circolatorio,38,38
2009-2017,87046,Malattie ischemiche del cuore,14,3
2009-2017,87046,Altre malattie del cuore,11,18
2009-2017,87046,Malattie cerebrovascolari,9,11
2009-2017,87046,Malattie del sistema respiratorio,6,4
2009-2017,87046,Polmonite,2,1
2009-2017,87046,Malattie croniche delle basse vie respiratorie,3,2
2009-2017,87046,Malattie dell'apparato digerente,1,3
2009-2017,87046,Malattie epatiche croniche,1,1
2009-2017,87046,Malattie della pelle e del tessuto sottocutaneo,0,1
2009-2017,87046,Malattie del sistema genitourinario,3,6
2009-2017,87046,Malattie del rene e dell'uretere,3,6
2009-2017,87046,Alcune condizioni che hanno origine nel periodo perinatale,1,0
2009-2017,87046,"Sintomi, segni, risultati anomali e cause mal definite",17,41
2009-2017,87046,Cause esterne di traumatismo e avvelenamento,3,0
2009-2017,87046,Accidenti,2,0
2009-2017,87046,Accidenti di trasporto,1,0
2009-2017,87046,Suicidio e autolesione intenzionale,1,0
2009-2017,87047,Malattie infettive e parassitarie,0,1
2009-2017,87047,Tumore,88,62
2009-2017,87047,Tumori maligni,87,61
2009-2017,87047,"Tumori maligni delle labbra, cavità orale e faringe",1,1
2009-2017,87047,Tumori maligni dell'esofago,2,0
2009-2017,87047,Tumori maligni dello stomaco,6,5
2009-2017,87047,Tumori maligni del colon,6,8
2009-2017,87047,Tumori maligni del retto e dell'ano,3,0
2009-2017,87047,Tumori maligni del fegato e dei dotti biliari intraepatici,5,3
2009-2017,87047,Tumori maligni del pancreas,4,3
2009-2017,87047,Tumori maligni della laringe e della trachea/bronchi/polm.,24,3
2009-2017,87047,Tumori maligni del seno,0,16
2009-2017,87047,Tumori maligni di altre parti dell'utero,0,1
2009-2017,87047,Tumori maligni dell'ovaio,0,3
2009-2017,87047,Tumori maligni della prostata,10,0
2009-2017,87047,Tumori maligni del rene,1,1
2009-2017,87047,Tumori maligni della vescica,4,0
2009-2017,87047,Tumori maligni del tessuto linfatico/ematopoietico,8,5
2009-2017,87047,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,0,3
2009-2017,87047,"Malattie endocrine, nutrizionali e metaboliche",12,9
2009-2017,87047,Diabete mellito,12,7
2009-2017,87047,Malattie del sistema nervoso e degli organi di senso,5,6
2009-2017,87047,Malattie del sistema circolatorio,143,145
2009-2017,87047,Malattie ischemiche del cuore,35,27
2009-2017,87047,Altre malattie del cuore,20,20
2009-2017,87047,Malattie cerebrovascolari,37,30
2009-2017,87047,Malattie del sistema respiratorio,21,11
2009-2017,87047,Influenza,0,1
2009-2017,87047,Polmonite,1,0
2009-2017,87047,Malattie croniche delle basse vie respiratorie,17,9
2009-2017,87047,Malattie dell'apparato digerente,10,8
2009-2017,87047,Malattie epatiche croniche,4,5
2009-2017,87047,Malattie del sistema osteomuscolare e del tessuto connettivo,0,4
2009-2017,87047,Artrite reumatoide e osteoartrite,0,3
2009-2017,87047,Malattie del sistema genitourinario,11,11
2009-2017,87047,Malattie del rene e dell'uretere,11,11
2009-2017,87047,Alcune condizioni che hanno origine nel periodo perinatale,3,4
2009-2017,87047,Malformazioni congenite e anormalità cromosomiche,2,4
2009-2017,87047,Malformazioni congenite del sistema nervoso,2,2
2009-2017,87047,"Sintomi, segni, risultati anomali e cause mal definite",18,30
2009-2017,87047,Cause esterne di traumatismo e avvelenamento,14,2
2009-2017,87047,Accidenti,11,1
2009-2017,87047,Accidenti di trasporto,7,0
2009-2017,87047,Cadute accidentali,2,1
2009-2017,87047,Avvelenamento accidentale,1,0
2009-2017,87047,Suicidio e autolesione intenzionale,2,1
2009-2017,87048,Malattie infettive e parassitarie,1,0
2009-2017,87048,Epatite virale,1,0
2009-2017,87048,Tumore,102,67
2009-2017,87048,Tumori maligni,101,66
2009-2017,87048,"Tumori maligni delle labbra, cavità orale e faringe",3,1
2009-2017,87048,Tumori maligni dell'esofago,1,1
2009-2017,87048,Tumori maligni dello stomaco,8,0
2009-2017,87048,Tumori maligni del colon,12,8
2009-2017,87048,Tumori maligni del retto e dell'ano,3,0
2009-2017,87048,Tumori maligni del fegato e dei dotti biliari intraepatici,5,2
2009-2017,87048,Tumori maligni del pancreas,4,3
2009-2017,87048,Tumori maligni della laringe e della trachea/bronchi/polm.,33,13
2009-2017,87048,Tumori maligni della cute,0,1
2009-2017,87048,Tumori maligni del seno,0,15
2009-2017,87048,Tumori maligni della cervice uterina,0,2
2009-2017,87048,Tumori maligni di altre parti dell'utero,0,3
2009-2017,87048,Tumori maligni della prostata,11,0
2009-2017,87048,Tumori maligni della vescica,4,2
2009-2017,87048,Tumori maligni del tessuto linfatico/ematopoietico,9,4
2009-2017,87048,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,3,1
2009-2017,87048,"Malattie endocrine, nutrizionali e metaboliche",22,27
2009-2017,87048,Diabete mellito,20,26
2009-2017,87048,Disturbi psichici e comportamentali,5,7
2009-2017,87048,Malattie del sistema nervoso e degli organi di senso,11,10
2009-2017,87048,Malattie del sistema circolatorio,128,133
2009-2017,87048,Malattie ischemiche del cuore,38,29
2009-2017,87048,Altre malattie del cuore,31,25
2009-2017,87048,Malattie cerebrovascolari,39,55
2009-2017,87048,Malattie del sistema respiratorio,25,19
2009-2017,87048,Polmonite,2,2
2009-2017,87048,Malattie croniche delle basse vie respiratorie,12,6
2009-2017,87048,Malattie dell'apparato digerente,11,9
2009-2017,87048,Malattie epatiche croniche,6,4
2009-2017,87048,Malattie della pelle e del tessuto sottocutaneo,0,2
2009-2017,87048,Malattie del sistema osteomuscolare e del tessuto connettivo,1,1
2009-2017,87048,Malattie del sistema genitourinario,3,15
2009-2017,87048,Malattie del rene e dell'uretere,3,15
2009-2017,87048,Alcune condizioni che hanno origine nel periodo perinatale,2,2
2009-2017,87048,Malformazioni congenite e anormalità cromosomiche,2,0
2009-2017,87048,Malformazioni congenite del sistema nervoso,1,0
2009-2017,87048,"Sintomi, segni, risultati anomali e cause mal definite",8,13
2009-2017,87048,Cause esterne di traumatismo e avvelenamento,14,12
2009-2017,87048,Accidenti,11,11
2009-2017,87048,Accidenti di trasporto,1,4
2009-2017,87048,Cadute accidentali,7,6
2009-2017,87048,Avvelenamento accidentale,2,0
2009-2017,87048,Suicidio e autolesione intenzionale,3,0
2009-2017,87048,"Omicidio, aggressione",0,1
2009-2017,87049,Malattie infettive e parassitarie,2,1
2009-2017,87049,Tumore,180,130
2009-2017,87049,Tumori maligni,180,130
2009-2017,87049,"Tumori maligni delle labbra, cavità orale e faringe",1,5
2009-2017,87049,Tumori maligni dell'esofago,3,1
2009-2017,87049,Tumori maligni dello stomaco,10,8
2009-2017,87049,Tumori maligni del colon,27,16
2009-2017,87049,Tumori maligni del retto e dell'ano,4,3
2009-2017,87049,Tumori maligni del fegato e dei dotti biliari intraepatici,5,3
2009-2017,87049,Tumori maligni del pancreas,4,13
2009-2017,87049,Tumori maligni della laringe e della trachea/bronchi/polm.,52,13
2009-2017,87049,Tumori maligni della cute,0,1
2009-2017,87049,Tumori maligni del seno,0,23
2009-2017,87049,Tumori maligni di altre parti dell'utero,0,3
2009-2017,87049,Tumori maligni dell'ovaio,0,7
2009-2017,87049,Tumori maligni della prostata,14,0
2009-2017,87049,Tumori maligni del rene,6,3
2009-2017,87049,Tumori maligni della vescica,14,2
2009-2017,87049,Tumori maligni del tessuto linfatico/ematopoietico,21,11
2009-2017,87049,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,5,2
2009-2017,87049,"Malattie endocrine, nutrizionali e metaboliche",13,12
2009-2017,87049,Diabete mellito,10,9
2009-2017,87049,Disturbi psichici e comportamentali,0,1
2009-2017,87049,Malattie del sistema nervoso e degli organi di senso,17,12
2009-2017,87049,Malattie del sistema circolatorio,236,320
2009-2017,87049,Malattie ischemiche del cuore,49,34
2009-2017,87049,Altre malattie del cuore,46,51
2009-2017,87049,Malattie cerebrovascolari,67,112
2009-2017,87049,Malattie del sistema respiratorio,46,27
2009-2017,87049,Influenza,1,0
2009-2017,87049,Polmonite,5,6
2009-2017,87049,Malattie croniche delle basse vie respiratorie,32,14
2009-2017,87049,Malattie dell'apparato digerente,22,15
2009-2017,87049,Malattie epatiche croniche,14,7
2009-2017,87049,Malattie della pelle e del tessuto sottocutaneo,1,1
2009-2017,87049,Malattie del sistema osteomuscolare e del tessuto connettivo,0,1
2009-2017,87049,Malattie del sistema genitourinario,23,20
2009-2017,87049,Malattie del rene e dell'uretere,21,20
2009-2017,87049,Alcune condizioni che hanno origine nel periodo perinatale,2,1
2009-2017,87049,Malformazioni congenite e anormalità cromosomiche,3,2
2009-2017,87049,Malformazioni congenite del sistema nervoso,3,2
2009-2017,87049,"Sintomi, segni, risultati anomali e cause mal definite",72,63
2009-2017,87049,Cause esterne di traumatismo e avvelenamento,14,4
2009-2017,87049,Accidenti,11,3
2009-2017,87049,Accidenti di trasporto,6,0
2009-2017,87049,Cadute accidentali,4,2
2009-2017,87049,Suicidio e autolesione intenzionale,3,1
2009-2017,87050,Malattie infettive e parassitarie,1,0
2009-2017,87050,Tumore,109,72
2009-2017,87050,Tumori maligni,109,71
2009-2017,87050,"Tumori maligni delle labbra, cavità orale e faringe",3,0
2009-2017,87050,Tumori maligni dell'esofago,2,0
2009-2017,87050,Tumori maligni dello stomaco,3,4
2009-2017,87050,Tumori maligni del colon,15,7
2009-2017,87050,Tumori maligni del retto e dell'ano,2,1
2009-2017,87050,Tumori maligni del fegato e dei dotti biliari intraepatici,3,4
2009-2017,87050,Tumori maligni del pancreas,7,7
2009-2017,87050,Tumori maligni della laringe e della trachea/bronchi/polm.,25,7
2009-2017,87050,Tumori maligni della cute,1,0
2009-2017,87050,Tumori maligni del seno,0,18
2009-2017,87050,Tumori maligni di altre parti dell'utero,0,2
2009-2017,87050,Tumori maligni dell'ovaio,0,3
2009-2017,87050,Tumori maligni della prostata,15,0
2009-2017,87050,Tumori maligni del rene,0,1
2009-2017,87050,Tumori maligni della vescica,5,2
2009-2017,87050,Tumori maligni del tessuto linfatico/ematopoietico,11,8
2009-2017,87050,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,3,0
2009-2017,87050,"Malattie endocrine, nutrizionali e metaboliche",16,15
2009-2017,87050,Diabete mellito,14,11
2009-2017,87050,Disturbi psichici e comportamentali,4,3
2009-2017,87050,Abuso di alcool (compresa psicosi alcolica),0,1
2009-2017,87050,"Dipendenza da droghe, tossicomania",1,0
2009-2017,87050,Malattie del sistema nervoso e degli organi di senso,8,13
2009-2017,87050,Malattie del sistema circolatorio,157,180
2009-2017,87050,Malattie ischemiche del cuore,24,18
2009-2017,87050,Altre malattie del cuore,31,31
2009-2017,87050,Malattie cerebrovascolari,43,55
2009-2017,87050,Malattie del sistema respiratorio,20,12
2009-2017,87050,Polmonite,2,1
2009-2017,87050,Malattie croniche delle basse vie respiratorie,13,7
2009-2017,87050,Malattie dell'apparato digerente,16,15
2009-2017,87050,Malattie epatiche croniche,8,7
2009-2017,87050,Malattie del sistema osteomuscolare e del tessuto connettivo,1,0
2009-2017,87050,Malattie del sistema genitourinario,6,17
2009-2017,87050,Malattie del rene e dell'uretere,4,16
2009-2017,87050,"Complicazioni della gravidanza, del parto e del puerperio",1,0
2009-2017,87050,Alcune condizioni che hanno origine nel periodo perinatale,0,1
2009-2017,87050,Malformazioni congenite e anormalità cromosomiche,0,2
2009-2017,87050,Malformazioni congenite del sistema nervoso,0,1
2009-2017,87050,"Sintomi, segni, risultati anomali e cause mal definite",17,17
2009-2017,87050,Cause esterne di traumatismo e avvelenamento,8,5
2009-2017,87050,Accidenti,7,2
2009-2017,87050,Accidenti di trasporto,5,1
2009-2017,87050,Cadute accidentali,1,0
2009-2017,87050,Avvelenamento accidentale,0,1
2009-2017,87050,Suicidio e autolesione intenzionale,0,2
2009-2017,87050,Eventi di intento indeterminato,0,1
2009-2017,87051,Malattie infettive e parassitarie,6,9
2009-2017,87051,Tumore,218,192
2009-2017,87051,Tumori maligni,214,189
2009-2017,87051,"Tumori maligni delle labbra, cavità orale e faringe",5,2
2009-2017,87051,Tumori maligni dello stomaco,10,8
2009-2017,87051,Tumori maligni del colon,28,19
2009-2017,87051,Tumori maligni del retto e dell'ano,4,6
2009-2017,87051,Tumori maligni del fegato e dei dotti biliari intraepatici,7,4
2009-2017,87051,Tumori maligni del pancreas,21,13
2009-2017,87051,Tumori maligni della laringe e della trachea/bronchi/polm.,47,24
2009-2017,87051,Tumori maligni della cute,4,2
2009-2017,87051,Tumori maligni del seno,1,36
2009-2017,87051,Tumori maligni di altre parti dell'utero,0,9
2009-2017,87051,Tumori maligni dell'ovaio,0,8
2009-2017,87051,Tumori maligni della prostata,23,0
2009-2017,87051,Tumori maligni del rene,7,1
2009-2017,87051,Tumori maligni della vescica,11,2
2009-2017,87051,Tumori maligni del tessuto linfatico/ematopoietico,18,22
2009-2017,87051,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,1,1
2009-2017,87051,"Malattie endocrine, nutrizionali e metaboliche",24,27
2009-2017,87051,Diabete mellito,22,24
2009-2017,87051,Disturbi psichici e comportamentali,2,7
2009-2017,87051,Malattie del sistema nervoso e degli organi di senso,20,20
2009-2017,87051,Malattie del sistema circolatorio,264,283
2009-2017,87051,Malattie ischemiche del cuore,73,46
2009-2017,87051,Altre malattie del cuore,47,55
2009-2017,87051,Malattie cerebrovascolari,83,102
2009-2017,87051,Malattie del sistema respiratorio,46,34
2009-2017,87051,Influenza,1,0
2009-2017,87051,Polmonite,7,8
2009-2017,87051,Malattie croniche delle basse vie respiratorie,26,15
2009-2017,87051,Asma,1,0
2009-2017,87051,Malattie dell'apparato digerente,34,27
2009-2017,87051,Malattie epatiche croniche,17,11
2009-2017,87051,Malattie del sistema osteomuscolare e del tessuto connettivo,2,2
2009-2017,87051,Artrite reumatoide e osteoartrite,0,1
2009-2017,87051,Malattie del sistema genitourinario,26,19
2009-2017,87051,Malattie del rene e dell'uretere,24,18
2009-2017,87051,Alcune condizioni che hanno origine nel periodo perinatale,2,1
2009-2017,87051,Malformazioni congenite e anormalità cromosomiche,2,1
2009-2017,87051,Malformazioni congenite del sistema nervoso,2,1
2009-2017,87051,"Sintomi, segni, risultati anomali e cause mal definite",24,45
2009-2017,87051,Cause esterne di traumatismo e avvelenamento,19,9
2009-2017,87051,Accidenti,12,7
2009-2017,87051,Accidenti di trasporto,7,0
2009-2017,87051,Cadute accidentali,2,5
2009-2017,87051,Avvelenamento accidentale,0,1
2009-2017,87051,Suicidio e autolesione intenzionale,5,1
2009-2017,87051,"Omicidio, aggressione",1,0
2009-2017,87051,Eventi di intento indeterminato,0,1
2009-2017,87052,Malattie infettive e parassitarie,0,2
2009-2017,87052,Tumore,66,63
2009-2017,87052,Tumori maligni,65,62
2009-2017,87052,"Tumori maligni delle labbra, cavità orale e faringe",2,0
2009-2017,87052,Tumori maligni dell'esofago,1,0
2009-2017,87052,Tumori maligni dello stomaco,2,4
2009-2017,87052,Tumori maligni del colon,4,9
2009-2017,87052,Tumori maligni del retto e dell'ano,1,2
2009-2017,87052,Tumori maligni del fegato e dei dotti biliari intraepatici,0,1
2009-2017,87052,Tumori maligni del pancreas,4,4
2009-2017,87052,Tumori maligni della laringe e della trachea/bronchi/polm.,19,2
2009-2017,87052,Tumori maligni della cute,1,1
2009-2017,87052,Tumori maligni del seno,1,18
2009-2017,87052,Tumori maligni dell'ovaio,0,6
2009-2017,87052,Tumori maligni della prostata,8,0
2009-2017,87052,Tumori maligni del rene,2,0
2009-2017,87052,Tumori maligni della vescica,1,0
2009-2017,87052,Tumori maligni del tessuto linfatico/ematopoietico,4,5
2009-2017,87052,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,1,0
2009-2017,87052,"Malattie endocrine, nutrizionali e metaboliche",9,8
2009-2017,87052,Diabete mellito,8,4
2009-2017,87052,Disturbi psichici e comportamentali,2,1
2009-2017,87052,Malattie del sistema nervoso e degli organi di senso,6,6
2009-2017,87052,Malattie del sistema circolatorio,96,118
2009-2017,87052,Malattie ischemiche del cuore,28,8
2009-2017,87052,Altre malattie del cuore,16,20
2009-2017,87052,Malattie cerebrovascolari,23,37
2009-2017,87052,Malattie del sistema respiratorio,26,4
2009-2017,87052,Influenza,1,0
2009-2017,87052,Polmonite,4,1
2009-2017,87052,Malattie croniche delle basse vie respiratorie,14,2
2009-2017,87052,Malattie dell'apparato digerente,12,7
2009-2017,87052,Malattie epatiche croniche,9,2
2009-2017,87052,Malattie della pelle e del tessuto sottocutaneo,1,0
2009-2017,87052,Malattie del sistema osteomuscolare e del tessuto connettivo,0,3
2009-2017,87052,Malattie del sistema genitourinario,6,7
2009-2017,87052,Malattie del rene e dell'uretere,6,7
2009-2017,87052,Alcune condizioni che hanno origine nel periodo perinatale,0,1
2009-2017,87052,Malformazioni congenite e anormalità cromosomiche,1,1
2009-2017,87052,Malformazioni congenite del sistema nervoso,1,1
2009-2017,87052,"Sintomi, segni, risultati anomali e cause mal definite",5,12
2009-2017,87052,Cause esterne di traumatismo e avvelenamento,7,1
2009-2017,87052,Accidenti,4,0
2009-2017,87052,Accidenti di trasporto,3,0
2009-2017,87052,Avvelenamento accidentale,1,0
2009-2017,87052,Suicidio e autolesione intenzionale,1,0
2009-2017,87052,"Omicidio, aggressione",1,0
2009-2017,87053,Malattie infettive e parassitarie,0,3
2009-2017,87053,Tumore,82,69
2009-2017,87053,Tumori maligni,81,66
2009-2017,87053,"Tumori maligni delle labbra, cavità orale e faringe",0,1
2009-2017,87053,Tumori maligni dello stomaco,5,1
2009-2017,87053,Tumori maligni del colon,10,6
2009-2017,87053,Tumori maligni del retto e dell'ano,4,2
2009-2017,87053,Tumori maligni del fegato e dei dotti biliari intraepatici,2,4
2009-2017,87053,Tumori maligni del pancreas,4,3
2009-2017,87053,Tumori maligni della laringe e della trachea/bronchi/polm.,22,6
2009-2017,87053,Tumori maligni del seno,0,16
2009-2017,87053,Tumori maligni di altre parti dell'utero,0,2
2009-2017,87053,Tumori maligni dell'ovaio,0,3
2009-2017,87053,Tumori maligni della prostata,9,0
2009-2017,87053,Tumori maligni del rene,4,0
2009-2017,87053,Tumori maligni della vescica,5,1
2009-2017,87053,Tumori maligni del tessuto linfatico/ematopoietico,6,8
2009-2017,87053,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,3,2
2009-2017,87053,"Malattie endocrine, nutrizionali e metaboliche",10,15
2009-2017,87053,Diabete mellito,10,9
2009-2017,87053,Disturbi psichici e comportamentali,1,1
2009-2017,87053,Malattie del sistema nervoso e degli organi di senso,9,11
2009-2017,87053,Malattie del sistema circolatorio,105,135
2009-2017,87053,Malattie ischemiche del cuore,21,16
2009-2017,87053,Altre malattie del cuore,19,25
2009-2017,87053,Malattie cerebrovascolari,30,43
2009-2017,87053,Malattie del sistema respiratorio,19,19
2009-2017,87053,Polmonite,3,5
2009-2017,87053,Malattie croniche delle basse vie respiratorie,12,8
2009-2017,87053,Asma,0,1
2009-2017,87053,Malattie dell'apparato digerente,6,10
2009-2017,87053,Malattie epatiche croniche,1,4
2009-2017,87053,Malattie del sistema osteomuscolare e del tessuto connettivo,1,2
2009-2017,87053,Malattie del sistema genitourinario,7,6
2009-2017,87053,Malattie del rene e dell'uretere,7,6
2009-2017,87053,"Complicazioni della gravidanza, del parto e del puerperio",0,1
2009-2017,87053,Alcune condizioni che hanno origine nel periodo perinatale,0,4
2009-2017,87053,Malformazioni congenite e anormalità cromosomiche,1,0
2009-2017,87053,Malformazioni congenite del sistema nervoso,1,0
2009-2017,87053,"Sintomi, segni, risultati anomali e cause mal definite",17,13
2009-2017,87053,Cause esterne di traumatismo e avvelenamento,6,4
2009-2017,87053,Accidenti,4,2
2009-2017,87053,Accidenti di trasporto,2,1
2009-2017,87053,Cadute accidentali,1,1
2009-2017,87053,Suicidio e autolesione intenzionale,2,1
2009-2017,87053,"Omicidio, aggressione",0,1
2009-2017,87054,Malattie infettive e parassitarie,0,3
2009-2017,87054,Tumore,78,63
2009-2017,87054,Tumori maligni,75,62
2009-2017,87054,"Tumori maligni delle labbra, cavità orale e faringe",1,2
2009-2017,87054,Tumori maligni dell'esofago,1,0
2009-2017,87054,Tumori maligni dello stomaco,7,4
2009-2017,87054,Tumori maligni del colon,6,14
2009-2017,87054,Tumori maligni del retto e dell'ano,2,3
2009-2017,87054,Tumori maligni del fegato e dei dotti biliari intraepatici,4,0
2009-2017,87054,Tumori maligni del pancreas,4,3
2009-2017,87054,Tumori maligni della laringe e della trachea/bronchi/polm.,17,2
2009-2017,87054,Tumori maligni della cute,0,1
2009-2017,87054,Tumori maligni del seno,0,11
2009-2017,87054,Tumori maligni della cervice uterina,0,3
2009-2017,87054,Tumori maligni di altre parti dell'utero,0,5
2009-2017,87054,Tumori maligni dell'ovaio,0,2
2009-2017,87054,Tumori maligni della prostata,10,0
2009-2017,87054,Tumori maligni del rene,0,1
2009-2017,87054,Tumori maligni della vescica,7,3
2009-2017,87054,Tumori maligni del tessuto linfatico/ematopoietico,9,6
2009-2017,87054,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,0,1
2009-2017,87054,"Malattie endocrine, nutrizionali e metaboliche",6,15
2009-2017,87054,Diabete mellito,5,8
2009-2017,87054,Malattie del sistema nervoso e degli organi di senso,12,17
2009-2017,87054,Malattie del sistema circolatorio,176,219
2009-2017,87054,Malattie ischemiche del cuore,31,25
2009-2017,87054,Altre malattie del cuore,18,27
2009-2017,87054,Malattie cerebrovascolari,53,68
2009-2017,87054,Malattie del sistema respiratorio,36,15
2009-2017,87054,Polmonite,6,3
2009-2017,87054,Malattie croniche delle basse vie respiratorie,24,6
2009-2017,87054,Asma,2,0
2009-2017,87054,Malattie dell'apparato digerente,16,18
2009-2017,87054,"Ulcera dello stomaco, duodeno e digiuno",1,0
2009-2017,87054,Malattie epatiche croniche,10,7
2009-2017,87054,Malattie della pelle e del tessuto sottocutaneo,0,1
2009-2017,87054,Malattie del sistema osteomuscolare e del tessuto connettivo,0,2
2009-2017,87054,Artrite reumatoide e osteoartrite,0,1
2009-2017,87054,Malattie del sistema genitourinario,6,9
2009-2017,87054,Malattie del rene e dell'uretere,6,9
2009-2017,87054,Malformazioni congenite e anormalità cromosomiche,0,3
2009-2017,87054,Malformazioni congenite del sistema nervoso,0,3
2009-2017,87054,"Sintomi, segni, risultati anomali e cause mal definite",10,18
2009-2017,87054,Cause esterne di traumatismo e avvelenamento,12,5
2009-2017,87054,Accidenti,3,3
2009-2017,87054,Accidenti di trasporto,1,0
2009-2017,87054,Cadute accidentali,1,2
2009-2017,87054,Suicidio e autolesione intenzionale,3,2
2009-2017,87054,"Omicidio, aggressione",3,0
2009-2017,87054,Eventi di intento indeterminato,1,0
2009-2017,87055,Malattie infettive e parassitarie,0,1
2009-2017,87055,Tumore,106,94
2009-2017,87055,Tumori maligni,105,93
2009-2017,87055,"Tumori maligni delle labbra, cavità orale e faringe",2,2
2009-2017,87055,Tumori maligni dello stomaco,6,8
2009-2017,87055,Tumori maligni del colon,12,11
2009-2017,87055,Tumori maligni del retto e dell'ano,1,2
2009-2017,87055,Tumori maligni del fegato e dei dotti biliari intraepatici,10,4
2009-2017,87055,Tumori maligni del pancreas,3,8
2009-2017,87055,Tumori maligni della laringe e della trachea/bronchi/polm.,25,10
2009-2017,87055,Tumori maligni della cute,1,0
2009-2017,87055,Tumori maligni del seno,0,11
2009-2017,87055,Tumori maligni di altre parti dell'utero,0,3
2009-2017,87055,Tumori maligni dell'ovaio,0,4
2009-2017,87055,Tumori maligni della prostata,10,0
2009-2017,87055,Tumori maligni del rene,0,1
2009-2017,87055,Tumori maligni della vescica,4,2
2009-2017,87055,Tumori maligni del tessuto linfatico/ematopoietico,13,14
2009-2017,87055,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,1,1
2009-2017,87055,"Malattie endocrine, nutrizionali e metaboliche",44,34
2009-2017,87055,Diabete mellito,41,33
2009-2017,87055,Disturbi psichici e comportamentali,4,14
2009-2017,87055,Malattie del sistema nervoso e degli organi di senso,13,13
2009-2017,87055,Malattie del sistema circolatorio,131,140
2009-2017,87055,Malattie ischemiche del cuore,43,32
2009-2017,87055,Altre malattie del cuore,23,30
2009-2017,87055,Malattie cerebrovascolari,40,49
2009-2017,87055,Malattie del sistema respiratorio,23,21
2009-2017,87055,Influenza,1,0
2009-2017,87055,Polmonite,2,2
2009-2017,87055,Malattie croniche delle basse vie respiratorie,15,10
2009-2017,87055,Asma,1,0
2009-2017,87055,Malattie dell'apparato digerente,16,13
2009-2017,87055,Malattie epatiche croniche,6,7
2009-2017,87055,Malattie della pelle e del tessuto sottocutaneo,1,0
2009-2017,87055,Malattie del sistema osteomuscolare e del tessuto connettivo,1,1
2009-2017,87055,Artrite reumatoide e osteoartrite,0,1
2009-2017,87055,Malattie del sistema genitourinario,11,5
2009-2017,87055,Malattie del rene e dell'uretere,11,5
2009-2017,87055,Alcune condizioni che hanno origine nel periodo perinatale,2,1
2009-2017,87055,Malformazioni congenite e anormalità cromosomiche,3,1
2009-2017,87055,Malformazioni congenite del sistema circolatorio,2,0
2009-2017,87055,"Sintomi, segni, risultati anomali e cause mal definite",11,16
2009-2017,87055,Cause esterne di traumatismo e avvelenamento,9,4
2009-2017,87055,Accidenti,7,3
2009-2017,87055,Accidenti di trasporto,3,1
2009-2017,87055,Cadute accidentali,3,2
2009-2017,87055,Avvelenamento accidentale,1,0
2009-2017,87055,Suicidio e autolesione intenzionale,2,0
2009-2017,87055,Eventi di intento indeterminato,0,1
2009-2017,87056,Tumore,46,27
